Activity ID and name*,Data element ID*,Data element label*,Description and definition*,Data Type,Input Options,Quantity subtype,Calculation,Validation condition,Optionality*,Explain conditionality,Functional grouping of data elements,Linkages to decision-support tables,Linkages to scheduling logic tables,Linkages to aggregate indicators,Annotations,CIEL,International Classification of Diseases 11th Revision (ICD-11) code*,ICD-11 Uniform Resource Identifier (URI),ICD-11 code title,ICD-11 relationship,"ICD-11
comments and considerations","International Classification of Diseases 10th Revision (ICD-10)
code*",ICD-10 code title,ICD-10 relationship,"ICD-10
comments and considerations",Logical Observation Identifiers Names and Codes (LOINC) version 2.73 code*,LOINC version 2.73 long common name,LOINC version 2.73 relationship,"LOINC version 2.73
comments and considerations","International Classification of Health Interventions (ICHI) (Beta 3)
code*","ICHI
comments and considerations","International Classification of Functioning, Disability and Health (ICF)
category*",ICF URI,Systematized Nomenclature of Medicine Clinical Terms (SNOMED) Global Patient Set (GPS) code*,SNOMED GPS preferred name,"SNOMED GPS
relationship","SNOMED GPS
comments and considerations"
MISAU.G.General,MISAU.G.DE128,Endocrine,Symptoms related to the endocrine/hormonal system,Boolean,,,,,,,,,,,,,,,,,,,,,,LP31396-2,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE129,Level of Conciousness,,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE130,Eye Opening,GCS sub-score for eye opening response,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE131,Verbal Response,GCS sub-score for verbal response,Boolean,,,,,,,,,,,,,,,,,,,,,,LA9341-4,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE132,Motor Response,GCS sub-score for motor response,Boolean,,,,,,,,,,,,,,,,,,,,,,LA6562-8,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE133,Level of Consciousness Score,"Total GCS score calculated from eye, verbal and motor sub-scores",Boolean,,,,,,,,,,,,162643,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE134,Anthropometric Measurement,,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE135,Weight (kg),Patient's current weight in kilograms,Boolean,,,,,,,,,,,,5089,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE136,Height (cm),Patient's current height in centimetres,Boolean,,,,,,,,,,,,5090,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE137,Cranial Perimeter (cm),Head circumference for neonatal/pediatric patients under 2 years,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
